Width.m,Depth.m,Velocity.m.s
5.87,0,0
6.5,0.36,0.031
7,0.38,0.123
8,0.4,0.144
9.5,0.27,0.228
11,0.27,0.432
12.5,0.26,0.37
14,0.4,0.437
15.5,0.44,0.293
17,0.52,0.376
18.5,0.52,0.095
20,0.57,0.092
21.5,0.69,0.102
23,0.46,0.11
24.5,0.33,0.144
26,0.15,0.024
26.2,0,0
