Width.m,Depth.m,Velocity.m.s
4.7,0,0
4.8,0.15,0.132
5,0.2,0.332
5.3,0.2,0.812
5.6,0.18,0.721
5.9,0.15,1.063
6.2,0.2,0.224
6.5,0.09,0.055
6.8,0.1,0.006
6.82,0,0
