Width.m,Depth.m,Velocity.m.s
2.64,0,0
2.75,0.13,0.049
3.05,0.15,0.04
3.35,0.14,0.197
3.65,0.19,0.532
3.95,0.15,0.48
4.25,0.16,0.407
4.55,0.1,0.352
4.85,0.08,0.121
5.15,0.08,0.528
5.45,0.08,0.466
5.54,0,0
