Width.m,Depth.m,Velocity.m.s
1.52,0,0
1.6,0.08,0.112
2,0.13,0.317
2.5,0.25,0.327
3,0.25,0.421
3.5,0.2,0.508
4,0.21,0.486
4.5,0.21,0.508
5,0.2,0.45
5.5,0.12,0.302
6,0.04,0.362
6.65,0,0
