Width.m,Depth.m,Velocity.m.s
3.26,0,0
3.9,0.08,0.022
5.4,0.2,0.247
6.9,0.22,0.296
8.4,0.15,0.258
9.9,0.13,0.271
11.1,0.07,0.125
11.9,0,0
