Width.m,Depth.m,Velocity.m.s
1.2,0,0
2.2,0.08,0.305
2.8,0.18,0.191
3.8,0.26,0.642
4.8,0.22,0.822
5.8,0.3,0.783
6.8,0.76,0.15
7.8,0.79,0.437
8.8,0.56,1.336
9.8,0.68,1.281
10.8,0.5,0.864
11.8,0.44,0.038
12.4,0,0
