Width.m,Depth.m,Velocity.m.s
2.85,0,0
3.2,0.2,0.215
3.7,0.24,0.277
4.7,0.35,0.292
5.7,0.48,0.369
6.7,0.69,0.196
7.7,0.77,0.156
8.7,0.5,0.203
9.7,0.58,0.3
10.7,0.26,0.278
11.7,0.23,0.147
12.7,0.28,0.218
13.7,0.27,0.424
14.7,0.2,0.212
15.7,0.19,0.444
16.7,0.33,0.413
17.7,0.22,0.174
18.7,0.23,0.119
19.7,0.39,0.139
20.7,0.39,0.234
21.7,0.27,0.158
21.9,0,0
