Width.m,Depth.m,Velocity.m.s
1.02,0,0
1.05,0.09,0.03
1.5,0.09,0.207
2,0.09,0.258
2.5,0.08,0.389
3,0.07,0.417
3.5,0.08,0.456
4,0.08,0.498
4.03,0,0
4.78,0,0
5.35,0.07,0.177
5.85,0.08,0.13
6.35,0.07,0.114
6.85,0.07,0.147
7.35,0.07,0.095
