Width.m,Depth.m,Velocity.m.s
1.65,0,0
1.85,0.14,0.019
2.35,0.26,0.082
2.9,0.14,0.193
3.6,0.21,0.343
4.3,0.27,0.038
4.8,0.33,0.464
5.5,0.33,0.35
6.2,0.33,0.339
6.9,0.33,0.323
7.6,0.26,0.434
8.3,0.14,0.143
8.61,0,0
