Width.m,Depth.m,Velocity.m.s
3.19,0,0
3.45,0.16,0.098
3.95,0.25,0.341
4.45,0.21,0.148
4.95,0.12,0.443
5.45,0.3,0.003
5.95,0.43,0.01
6.45,0.52,0.244
6.95,0.45,0.176
7.45,0.49,0.129
7.95,0.4,0.532
8.45,0.22,0.107
8.6,0.19,0.031
9.49,0,0
