Width.m,Depth.m,Velocity.m.s
1.4,0,0
1.5,0.74,0.317
2.1,1.02,0.822
2.7,1.06,0.663
3.3,0.9,0.632
3.9,0.7,0.548
4.5,0.58,0.602
5.4,0.4,0.5
5.7,0.3,0.261
6.3,0.21,0.125
6.9,0.1,0.07
8.5,0,0
