Width.m,Depth.m,Velocity.m.s
1.75,0,0
1.8,0.1,0.125
2.1,0.19,0.754
2.6,0.2,1.003
3.1,0.34,1.243
3.6,0.3,1.118
4.1,0.26,0.802
4.6,0.2,0.599
5.1,0.12,0.029
5.6,0.1,0.353
6.3,0,0
