Width.m,Depth.m,Velocity.m.s
4.1,0.1,0.23
4.8,0.1,0.049
5.5,0.1,0.208
5.73,0,0
6.18,0,0
6.3,0.1,0.403
6.95,0.1,0.137
7.12,0,0
7.39,0,0
7.4,0.09,0.031
8.1,0.07,0.268
8.8,0.08,0.35
9.5,0.08,0.175
10.2,0.08,0.091
10.46,0,0
