Width.m,Depth.m,Velocity.m.s
1.2,0,0
1.45,0.2,0.02
2.45,0.49,0.417
3.45,0.67,0.915
4.45,0.68,0.682
5.45,0.62,0.317
6.45,0.47,0.761
7.45,0.36,0.157
8.45,0.19,0.028
9.1,0.14,0.05
9.32,0,0
