Width.m,Depth.m,Velocity.m.s
1,0,0
1.2,0.14,0.054
1.7,0.35,0.714
2.2,0.41,0.762
2.7,0.39,0.888
3.2,0.38,0.608
3.7,0.22,0.283
4.2,0.2,0.174
4.7,0.14,0.15
5.2,0.08,0.114
5.7,0.06,0.033
6.4,0,0
