Width.m,Depth.m,Velocity.m.s
1.6,0,0
2.2,0.17,0.01
3.2,0.46,0.503
4.2,0.54,0.447
5.2,0.6,0.551
6.2,0.72,0.729
7.2,0.6,0.746
8.2,0.5,0.726
9.2,0.49,0.66
10.2,0.39,0.592
11.2,0.2,0.242
11.6,0.09,0.074
12,0,0
