Width.m,Depth.m,Velocity.m.s
1.47,0,0
1.7,0.08,0.064
2.2,0.19,0.223
2.7,0.35,0.32
3.2,0.38,0.311
3.7,0.39,0.378
4.2,0.4,0.363
4.7,0.41,0.403
5.2,0.41,0.442
5.7,0.33,0.442
6.2,0.25,0.405
6.7,0.23,0.421
7.2,0.22,0.362
7.7,0.19,0.213
8.2,0.1,0.182
8.82,0.045,0
