Width.m,Depth.m,Velocity.m.s
1.59,0,0
1.7,0.22,0.353
2.4,0.38,0.428
3.1,0.28,0.57
3.8,0.57,0.467
4.5,0.21,0.464
5.2,0.21,0.293
5.9,0.19,0.008
6.5,0.16,0.217
8.31,0,0
