Time,Cond.corr.mS.cm,Ct.mS.cm,Temp.deg.C
2024-07-15 10:45:00,0.07199126,0.0470787,7.69751
2024-07-15 10:45:02,0.07196984,0.0470787,7.707245
2024-07-15 10:45:04,0.07196984,0.0470787,7.707245
2024-07-15 10:45:06,0.07190543,0.0470787,7.736542
2024-07-15 10:45:08,0.07190543,0.0470787,7.736542
2024-07-15 10:45:10,0.07194835,0.0470787,7.71701
2024-07-15 10:45:12,0.07199126,0.0470787,7.69751
2024-07-15 10:45:14,0.07192016,0.04708834,7.736542
2024-07-15 10:45:16,0.07188412,0.0470787,7.746246
2024-07-15 10:45:18,0.07194168,0.04708834,7.726746
2024-07-15 10:45:20,0.07194835,0.0470787,7.71701
2024-07-15 10:45:22,0.07192016,0.04708834,7.736542
2024-07-15 10:45:24,0.07198457,0.04708834,7.707245
2024-07-15 10:45:26,0.07194168,0.04708834,7.726746
2024-07-15 10:45:28,0.07187741,0.04708834,7.756012
2024-07-15 10:45:30,0.07192016,0.04708834,7.736542
2024-07-15 10:45:32,0.07196309,0.04708834,7.71701
2024-07-15 10:45:34,0.07198457,0.04708834,7.707245
2024-07-15 10:45:36,0.07194168,0.04708834,7.726746
2024-07-15 10:45:38,0.07194168,0.04708834,7.726746
2024-07-15 10:45:40,0.07194168,0.04708834,7.726746
2024-07-15 10:45:42,0.0719859,0.04711729,7.726746
2024-07-15 10:45:44,0.07220673,0.04726182,7.726746
2024-07-15 10:45:46,0.07342886,0.04803311,7.707245
2024-07-15 10:45:48,0.07505183,0.04912404,7.726746
2024-07-15 10:45:50,0.07937117,0.0519512,7.726746
2024-07-15 10:45:52,0.08936018,0.05854166,7.756012
2024-07-15 10:45:54,0.1027848,0.06729637,7.736542
2024-07-15 10:45:56,0.1100298,0.07197545,7.707245
2024-07-15 10:45:58,0.1428947,0.09358528,7.746246
2024-07-15 10:46:00,0.1534103,0.1005022,7.756012
2024-07-15 10:46:02,0.1781279,0.1166258,7.736542
2024-07-15 10:46:04,0.1939309,0.1268968,7.71701
2024-07-15 10:46:06,0.2016802,0.1321642,7.765778
2024-07-15 10:46:08,0.2083208,0.1363532,7.726746
2024-07-15 10:46:10,0.2145746,0.1405303,7.746246
2024-07-15 10:46:12,0.212086,0.1387764,7.71701
2024-07-15 10:46:14,0.2113952,0.138448,7.746246
2024-07-15 10:46:16,0.2085893,0.1364069,7.697479
2024-07-15 10:46:18,0.2023593,0.1326091,7.765747
2024-07-15 10:46:20,0.1940283,0.1269605,7.71701
2024-07-15 10:46:22,0.1837012,0.1202746,7.736481
2024-07-15 10:46:24,0.1845126,0.1208419,7.746246
2024-07-15 10:46:26,0.1708623,0.1119354,7.756012
2024-07-15 10:46:28,0.1596532,0.1045609,7.746246
2024-07-15 10:46:30,0.1527063,0.09998135,7.736481
2024-07-15 10:46:32,0.1461629,0.09578272,7.765747
2024-07-15 10:46:34,0.1405153,0.09208179,7.765747
2024-07-15 10:46:36,0.1353839,0.08866627,7.746246
2024-07-15 10:46:38,0.1304817,0.0854812,7.756012
2024-07-15 10:46:40,0.123323,0.0807914,7.756012
2024-07-15 10:46:42,0.1181711,0.07737014,7.736481
2024-07-15 10:46:44,0.1135497,0.0743665,7.746246
2024-07-15 10:46:46,0.1082349,0.07090688,7.756012
2024-07-15 10:46:48,0.1071272,0.07013936,7.736481
2024-07-15 10:46:50,0.1035405,0.06785165,7.765747
2024-07-15 10:46:52,0.1001975,0.06568044,7.775482
2024-07-15 10:46:54,0.09732767,0.06372331,7.736481
2024-07-15 10:46:56,0.09473594,0.06200798,7.726746
2024-07-15 10:46:58,0.0924395,0.06052288,7.736481
2024-07-15 10:47:00,0.09016114,0.05903117,7.736481
2024-07-15 10:47:02,0.08833957,0.05785579,7.746246
2024-07-15 10:47:04,0.08682847,0.0569169,7.775482
2024-07-15 10:47:06,0.08639058,0.05654565,7.726746
2024-07-15 10:47:08,0.0842421,0.05523801,7.785278
2024-07-15 10:47:10,0.08288476,0.05428329,7.746246
2024-07-15 10:47:12,0.0825583,0.05411776,7.775482
2024-07-15 10:47:14,0.08116567,0.05312577,7.726746
2024-07-15 10:47:16,0.08064608,0.05278567,7.726746
2024-07-15 10:47:18,0.08004619,0.05245546,7.765747
2024-07-15 10:47:20,0.07874568,0.05157251,7.746246
2024-07-15 10:47:22,0.07799932,0.05106847,7.736481
2024-07-15 10:47:24,0.07768021,0.05087471,7.746246
2024-07-15 10:47:26,0.07723494,0.05061321,7.765747
2024-07-15 10:47:28,0.07649762,0.0501002,7.746246
2024-07-15 10:47:30,0.07606131,0.0498293,7.756012
2024-07-15 10:47:32,0.07585388,0.04972295,7.775482
2024-07-15 10:47:34,0.07541133,0.04943286,7.775482
2024-07-15 10:47:36,0.07530159,0.04931689,7.746246
2024-07-15 10:47:38,0.07479272,0.048969,7.736481
2024-07-15 10:47:40,0.07463777,0.04888213,7.746246
2024-07-15 10:47:42,0.07437933,0.04872732,7.755951
2024-07-15 10:47:44,0.07429077,0.04861139,7.71698
2024-07-15 10:47:46,0.07392994,0.04847622,7.785248
2024-07-15 10:47:48,0.0737753,0.04836042,7.775482
2024-07-15 10:47:50,0.07371593,0.04826396,7.73645
2024-07-15 10:47:52,0.0734881,0.04815785,7.765747
2024-07-15 10:47:54,0.07351669,0.0481192,7.726715
2024-07-15 10:47:56,0.07339168,0.04805166,7.73645
2024-07-15 10:47:58,0.0731778,0.04789738,7.726715
2024-07-15 10:48:00,0.07311948,0.04788772,7.746216
2024-07-15 10:48:02,0.07300944,0.04782987,7.755951
2024-07-15 10:48:04,0.07293575,0.0477816,7.755951
2024-07-15 10:48:06,0.07286839,0.04769487,7.726715
2024-07-15 10:48:08,0.07285365,0.04768522,7.726715
2024-07-15 10:48:10,0.07272267,0.04765625,7.765747
2024-07-15 10:48:12,0.07267773,0.04759841,7.746216
2024-07-15 10:48:14,0.07264141,0.04758877,7.755951
2024-07-15 10:48:16,0.07260416,0.04755023,7.746216
2024-07-15 10:48:18,0.07253838,0.04752127,7.755951
2024-07-15 10:48:20,0.07254535,0.04751171,7.746216
2024-07-15 10:48:22,0.0725375,0.04749241,7.73645
2024-07-15 10:48:24,0.07247854,0.0474538,7.73645
2024-07-15 10:48:26,0.07254333,0.0474538,7.707214
2024-07-15 10:48:28,0.07247756,0.04742493,7.71698
2024-07-15 10:48:30,0.07247756,0.04742493,7.71698
2024-07-15 10:48:32,0.07237562,0.04738642,7.73645
2024-07-15 10:48:34,0.07228943,0.04738642,7.775482
2024-07-15 10:48:36,0.07232457,0.04736712,7.746216
2024-07-15 10:48:38,0.07235403,0.04738642,7.746216
2024-07-15 10:48:40,0.07232457,0.04736712,7.746216
2024-07-15 10:48:42,0.0723314,0.04735747,7.73645
2024-07-15 10:48:44,0.07228833,0.04735747,7.755951
2024-07-15 10:48:46,0.07223728,0.04733817,7.765747
2024-07-15 10:48:48,0.07230868,0.04732852,7.726715
2024-07-15 10:48:50,0.07226459,0.04729965,7.726715
2024-07-15 10:48:52,0.07222956,0.04731896,7.755951
2024-07-15 10:48:54,0.07216379,0.04729001,7.765747
2024-07-15 10:48:56,0.07223629,0.0473093,7.746216
2024-07-15 10:48:58,0.07228609,0.04729965,7.71698
2024-07-15 10:49:00,0.07224986,0.04729001,7.726715
2024-07-15 10:49:02,0.07227135,0.04729001,7.71698
2024-07-15 10:49:04,0.07228496,0.04727072,7.697479
2024-07-15 10:49:06,0.07216276,0.04726115,7.746216
2024-07-15 10:49:08,0.07227033,0.04726115,7.697479
