Time,Cond.corr.mS.cm,Ct.mS.cm,Temp.deg.C
2024-07-15 14:06:38,0.06229803,0.04446435,10.6868
2024-07-15 14:06:40,0.06215151,0.04439717,10.71689
2024-07-15 14:06:42,0.06206131,0.04432032,10.70688
2024-07-15 14:06:44,0.06199024,0.04428197,10.71689
2024-07-15 14:06:46,0.06186534,0.04420521,10.72696
2024-07-15 14:06:48,0.0618559,0.04418601,10.71689
2024-07-15 14:06:50,0.06175793,0.04412846,10.72696
2024-07-15 14:06:52,0.06174449,0.04411886,10.72696
2024-07-15 14:06:54,0.06171761,0.04409965,10.72696
2024-07-15 14:06:56,0.06165655,0.04399411,10.67676
2024-07-15 14:06:58,0.06167571,0.04403252,10.69681
2024-07-15 14:07:00,0.06158538,0.0439557,10.6868
2024-07-15 14:07:02,0.06150479,0.04389818,10.6868
2024-07-15 14:07:04,0.06142609,0.04387898,10.71689
2024-07-15 14:07:06,0.06141075,0.04383106,10.6868
2024-07-15 14:07:08,0.06129183,0.04378307,10.71689
2024-07-15 14:07:10,0.06134351,0.04378307,10.6868
2024-07-15 14:07:12,0.06136077,0.04378307,10.67676
2024-07-15 14:07:14,0.06133191,0.04372556,10.64667
2024-07-15 14:07:16,0.06117102,0.04369677,10.71689
2024-07-15 14:07:18,0.06116721,0.04370636,10.72696
2024-07-15 14:07:20,0.06111739,0.04365846,10.71689
2024-07-15 14:07:22,0.06107708,0.04362966,10.71689
2024-07-15 14:07:24,0.0610942,0.04362966,10.70688
2024-07-15 14:07:26,0.06107708,0.04362966,10.71689
2024-07-15 14:07:28,0.06101592,0.04361048,10.73697
2024-07-15 14:07:30,0.06103091,0.04357217,10.69681
2024-07-15 14:07:32,0.06103459,0.04356258,10.6868
2024-07-15 14:07:34,0.06101369,0.04357217,10.70688
2024-07-15 14:07:36,0.06100404,0.04355298,10.69681
2024-07-15 14:07:38,0.06099059,0.04354339,10.69681
2024-07-15 14:07:40,0.06104572,0.04353379,10.65671
2024-07-15 14:07:42,0.060826,0.04352479,10.77811
2024-07-15 14:07:44,0.06095313,0.04350559,10.68774
2024-07-15 14:07:46,0.06093229,0.04351519,10.70782
2024-07-15 14:07:48,0.06095916,0.04353438,10.70782
