Time,Cond.corr.mS.cm,Ct.mS.cm,Temp.deg.C
2024-08-18 09:05:00,0.1003063,0.06771046,8.751831
2024-08-18 09:05:02,0.1003211,0.0677204,8.751831
2024-08-18 09:05:04,0.1004966,0.0677204,8.692871
2024-08-18 09:05:06,0.1003792,0.06770051,8.722382
2024-08-18 09:05:08,0.1002916,0.06770051,8.751831
2024-08-18 09:05:10,0.1003939,0.06771046,8.722382
2024-08-18 09:05:12,0.1003792,0.06770051,8.722382
2024-08-18 09:05:14,0.10035,0.06770051,8.732178
2024-08-18 09:05:16,0.100438,0.0677204,8.712524
2024-08-18 09:05:18,0.1003795,0.0677204,8.732178
2024-08-18 09:05:20,0.1003792,0.06770051,8.722382
2024-08-18 09:05:22,0.1002918,0.0677204,8.761688
2024-08-18 09:05:24,0.1003795,0.0677204,8.732178
2024-08-18 09:05:26,0.1003648,0.06771046,8.732178
2024-08-18 09:05:28,0.1003356,0.06771046,8.742004
2024-08-18 09:05:30,0.1002918,0.0677204,8.761688
2024-08-18 09:05:32,0.1003795,0.0677204,8.732178
2024-08-18 09:05:34,0.1004087,0.0677204,8.722382
2024-08-18 09:05:36,0.100204,0.06770051,8.781342
2024-08-18 09:05:38,0.1003795,0.0677204,8.732178
2024-08-18 09:05:40,0.1004087,0.0677204,8.722382
2024-08-18 09:05:42,0.1004526,0.06771046,8.702698
2024-08-18 09:05:44,0.1003503,0.0677204,8.742004
2024-08-18 09:05:46,0.1003063,0.06771046,8.751831
2024-08-18 09:05:48,0.1003792,0.06770051,8.722382
2024-08-18 09:05:50,0.1002621,0.06770051,8.761749
2024-08-18 09:05:52,0.1003353,0.06771046,8.742096
2024-08-18 09:05:54,0.1003351,0.06769057,8.732239
2024-08-18 09:05:56,0.1004964,0.0677204,8.692932
2024-08-18 09:05:58,0.1004819,0.06773033,8.702759
2024-08-18 09:06:00,0.1004086,0.0677204,8.722412
2024-08-18 09:06:02,0.1003646,0.06771046,8.732239
2024-08-18 09:06:04,0.1003061,0.06771046,8.751923
2024-08-18 09:06:06,0.1006282,0.06769057,8.634003
2024-08-18 09:06:08,0.1003353,0.06771046,8.742096
2024-08-18 09:06:10,0.1004671,0.0677204,8.702759
2024-08-18 09:06:12,0.1003793,0.0677204,8.732239
2024-08-18 09:06:14,0.1004083,0.06770051,8.712616
2024-08-18 09:06:16,0.1003646,0.06771046,8.732239
2024-08-18 09:06:18,0.10035,0.0677204,8.742096
2024-08-18 09:06:20,0.1004083,0.06770051,8.712616
2024-08-18 09:06:22,0.1003791,0.06770051,8.722412
2024-08-18 09:06:24,0.1003646,0.06771046,8.732239
2024-08-18 09:06:26,0.1003646,0.06771046,8.732239
2024-08-18 09:06:28,0.1004524,0.06771046,8.702759
2024-08-18 09:06:30,0.1003061,0.06771046,8.751923
2024-08-18 09:06:32,0.1004376,0.06770051,8.702759
