Width.m,Depth.m,Velocity.m.s
1.4,0,0
1.5,0.2,0.014
2.5,0.19,0.351
3.5,0.38,0.381
4.5,0.48,0.369
5.5,0.72,0.278
6.5,0.78,0.163
7.7,0.4,0.299
8.5,0.48,0.306
9.5,0.53,0.125
10.5,0.41,0.199
11.5,0.3,0.266
12.5,0.48,0.342
13.5,0.24,0.118
14.5,0.31,0.386
15.5,0.36,0.368
16.5,0.16,0.148
17.5,0.18,0.063
18.5,0.4,0.165
19.5,0.48,0.207
20.5,0.5,0.213
21.6,0,0
