Width.m,Depth.m,Velocity.m.s
3.21,0,0
3.85,0.08,0.579
4.35,0.12,0.634
4.85,0.25,0.766
5.35,0.23,0.82
5.85,0.21,0.754
6.35,0.2,0.799
6.85,0.19,0.936
7.35,0.22,0.718
7.85,0.2,0.641
8.35,0.19,0.402
8.75,0.09,0.732
9,0.08,0.2356
9.88,0,0
