Width.m,Depth.m,Velocity.m.s
5.95,0,0
6.15,0.06,0.324
6.45,0.14,0.34
6.75,0.14,0.477
7.05,0.18,0.468
7.35,0.22,0.484
7.65,0.21,0.579
7.95,0.2,0.388
8.25,0.22,0.555
8.55,0.21,0.592
8.85,0.23,0.51
9.15,0.22,0.424
9.45,0.25,0.586
9.75,0.21,0.43
10.05,0.14,0.284
10.35,0.08,0.409
10.6,0,0
