Width.m,Depth.m,Velocity.m.s
0.62,0,0
1.41,0.045,0.179
1.7,0.05,0.484
2,0.1,0.205
2.3,0.12,0.335
2.6,0.07,0.585
2.9,0.15,0.425
3.2,0.1,0.141
3.49,0.08,0.502
3.8,0.07,0.4
4.37,0,0
