Width.m,Depth.m,Velocity.m.s
3.19,0,0
3.5,0.08,0.362
4,0.29,0.301
4.5,0.32,0.213
5,0.48,0.304
5.5,0.12,0.376
6,0.4,0.578
6.5,0.17,0.609
7,0.38,0.618
7.5,0.33,0.6
8,0.24,0.112
8.5,0.15,0.167
9,0.06,0.03
9.08,0,0
