Date.and.Time,Seconds,Temperature..C.,Pressure..kPa.,Depth..cm.,X,baro_meter,depth.m,discharge
2024-07-17T16:00:00Z,0,15.459,82.323,840.306,NA,8.158139962443254,0.23650099355674392,0.12790668593229715
2024-07-17T16:15:00Z,900,15.664,82.297,840.036,NA,8.160179228930444,0.23181045506955478,0.12536990490608843
2024-07-17T16:30:00Z,1800,15.92,82.302,840.092,NA,8.160043277831297,0.23245626616870219,0.1257191785230317
2024-07-17T16:45:00Z,2700,16.278,82.295,840.013,NA,8.162599158495244,0.2291865815047558,0.12395083699042542
2024-07-17T17:00:00Z,3600,16.482,82.268,839.744,NA,8.161062911074891,0.22796958492510733,0.12329264948367219
2024-07-17T17:15:00Z,4500,16.686,82.319,840.26,NA,8.156331812824613,0.2379012551753874,0.12866398855663436
2024-07-17T17:30:00Z,5400,17.094,82.276,839.826,NA,8.157514587387183,0.232333684612815,0.125652882816049
2024-07-17T17:45:00Z,6300,17.348,82.272,839.778,NA,8.158167152663083,0.23127323133691746,0.12507935852735058
2024-07-17T18:00:00Z,7200,17.602,82.267,839.73,NA,8.158058391783765,0.23087213221623415,0.1248624323382238
2024-07-17T18:15:00Z,8100,18.008,82.204,839.088,NA,8.150336369352273,0.23216991864772574,0.12556431337053398
2024-07-17T18:30:00Z,9000,18.412,82.182,838.865,NA,8.154251761007679,0.22601114299232172,0.12223346654559566
2024-07-17T18:45:00Z,9900,18.816,82.181,838.852,NA,8.153001010895535,0.22715992110446415,0.12285475950080028
2024-07-17T19:00:00Z,10800,19.269,82.181,838.85,NA,8.15310977177485,0.22705116022514815,0.12279593842177149
2024-07-17T19:15:00Z,11700,19.721,82.155,838.587,NA,8.150485915561333,0.22702374443866624,0.12278111115894103
2024-07-17T19:30:00Z,12600,20.172,82.129,838.325,NA,8.150186823143212,0.22467156485678785,0.12150898333186069
2024-07-17T19:45:00Z,13500,20.122,82.144,838.47,NA,8.152307660289889,0.22408030771011056,0.1211892140952586
2024-07-17T20:00:00Z,14400,19.972,82.135,838.383,NA,8.152511586938608,0.22295863306139196,0.12058257948939827
2024-07-17T20:15:00Z,15300,20.022,82.126,838.29,NA,8.148514624623717,0.22603784737628274,0.12224790906104116
2024-07-17T20:30:00Z,16200,20.272,82.137,838.4,NA,8.151845426552795,0.22382873744720477,0.12105315750571333
2024-07-17T20:45:00Z,17100,20.322,82.169,838.726,NA,8.151002529738088,0.22793473826191146,0.12327380338438883
2024-07-17T21:00:00Z,18000,20.422,82.125,838.278,NA,8.144191379670875,0.23025912032912466,0.12453089749882167
2024-07-17T21:15:00Z,18900,20.522,82.096,837.987,NA,8.141322811478894,0.23017050052110655,0.12448296930291397
2024-07-17T21:30:00Z,19800,20.622,82.052,837.538,NA,8.148310697974997,0.21869584602500325,0.11827713901551366
2024-07-17T21:45:00Z,20700,20.772,82.081,837.835,NA,8.14958863830697,0.22037509369303088,0.11918532549222467
2024-07-17T22:00:00Z,21600,20.822,82.072,837.742,NA,8.145686841761481,0.22335914223851816,0.12079918661971628
2024-07-17T22:15:00Z,22500,20.921,82.085,837.87,NA,8.14908561924013,0.22128600075986782,0.11967797079725791
2024-07-17T22:30:00Z,23400,21.021,82.072,837.736,NA,8.14601312439943,0.22303285960057018,0.12062272338262987
2024-07-17T22:45:00Z,24300,21.021,82.046,837.474,NA,8.146692879895161,0.21970183210483896,0.11882120584428552
2024-07-17T23:00:00Z,25200,21.071,82.037,837.381,NA,8.14385150192301,0.2216254620769913,0.11986156145124413
2024-07-17T23:15:00Z,26100,21.071,82.021,837.224,NA,8.139120403672727,0.2247250083272725,0.12153788713091712
2024-07-17T23:30:00Z,27000,21.021,81.99,836.898,NA,8.13891647702401,0.22176780297598953,0.11993854359152897
2024-07-17T23:45:00Z,27900,20.921,82.013,837.136,NA,8.143892287252752,0.21913734874724788,0.1185159166594598
2024-07-18T00:00:00Z,28800,20.822,82.006,837.061,NA,8.140534295103846,0.2217815368961542,0.11994597129906924
2024-07-18T00:15:00Z,29700,20.722,81.998,836.985,NA,8.140643055983164,0.22085700001683684,0.11944595459099017
2024-07-18T00:30:00Z,30600,20.472,81.998,836.979,NA,8.13803279487956,0.22346726112044024,0.12085766048769198
2024-07-18T00:45:00Z,31500,20.272,82.06,837.614,NA,8.130664245305846,0.23715807469415395,0.12826205471705693
2024-07-18T01:00:00Z,32400,19.972,82.186,838.907,NA,8.133410457508596,0.24726033449140417,0.13372565362909838
2024-07-18T01:15:00Z,33300,19.671,82.21,839.152,NA,8.135272987566896,0.24784513243310258,0.13404192953787053
2024-07-18T01:30:00Z,34200,19.319,82.049,837.5,NA,8.135150631577664,0.23154999642233598,0.12522904121715778
2024-07-18T01:45:00Z,35100,18.967,82.01,837.105,NA,8.135776006633735,0.22694771336626474,0.12273999132112343
2024-07-18T02:00:00Z,36000,18.665,82.096,837.979,NA,8.139936110267604,0.23155720173239658,0.1252329380605372
2024-07-18T02:15:00Z,36900,18.412,82.059,837.608,NA,8.136686878998015,0.23103346900198396,0.12494968801218052
2024-07-18T02:30:00Z,37800,18.21,82.132,838.348,NA,8.138862096584349,0.2363022074156511,0.12779917654667441
2024-07-18T02:45:00Z,38700,17.957,82.106,838.082,NA,8.138059985099389,0.23445304690060986,0.12679909621010263
2024-07-18T03:00:00Z,39600,17.704,82.085,837.868,NA,8.143171746427278,0.22719987357272053,0.12287636696947361
2024-07-18T03:15:00Z,40500,17.45,82.135,838.387,NA,8.143987453022156,0.23148276697784453,0.12519268155831387
