Date.and.Time,Temperature..C.,discharge
2024-07-16T00:00:00Z,11.152,2.7185889387105555
2024-07-16T00:15:00Z,10.891,2.6325115655515625
2024-07-16T00:30:00Z,10.839,2.671917332979447
2024-07-16T00:45:00Z,10.839,2.4220393736814616
2024-07-16T01:00:00Z,10.787,2.844391712909236
2024-07-16T01:15:00Z,10.735,2.810553119221119
2024-07-16T01:30:00Z,10.735,3.0218971267224606
2024-07-16T01:45:00Z,10.735,2.85352476358708
2024-07-16T02:00:00Z,10.682,3.024073496706665
2024-07-16T02:15:00Z,10.63,3.101436170247032
2024-07-16T02:30:00Z,10.578,3.1892256600883195
2024-07-16T02:45:00Z,10.525,3.2273048906099633
2024-07-16T03:00:00Z,10.473,2.81547755124813
2024-07-16T03:15:00Z,10.421,3.0652051368306252
2024-07-16T03:30:00Z,10.316,2.9508030024922354
2024-07-16T03:45:00Z,10.264,2.9827485570200554
2024-07-16T04:00:00Z,10.211,3.138264434528287
2024-07-16T04:15:00Z,10.107,3.191056439246727
2024-07-16T04:30:00Z,10.002,3.356987377380326
2024-07-16T04:45:00Z,9.949,3.186059555435344
2024-07-16T05:00:00Z,9.844,3.648393521730389
2024-07-16T05:15:00Z,9.792,2.8946964174966734
2024-07-16T05:30:00Z,9.634,3.006497103534611
2024-07-16T05:45:00Z,9.582,3.179713456634065
2024-07-16T06:00:00Z,9.477,3.31207379433363
2024-07-16T06:15:00Z,9.371,3.1450050754214556
2024-07-16T06:30:00Z,9.319,3.172941420375853
2024-07-16T06:45:00Z,9.266,3.1600746262224417
2024-07-16T07:00:00Z,9.161,3.02498950350344
2024-07-16T07:15:00Z,9.055,3.138058362606107
2024-07-16T07:30:00Z,8.95,3.0762503885419332
2024-07-16T07:45:00Z,8.897,3.009544300933585
2024-07-16T08:00:00Z,8.792,3.3025002032370203
2024-07-16T08:15:00Z,8.739,3.1016856646619373
2024-07-16T08:30:00Z,8.633,3.016927301529633
2024-07-16T08:45:00Z,8.58,2.818190590790497
2024-07-16T09:00:00Z,8.474,3.258630961265522
2024-07-16T09:15:00Z,8.421,3.0128139365715705
2024-07-16T09:30:00Z,8.369,2.908397944366626
2024-07-16T09:45:00Z,8.263,2.9223402981086943
2024-07-16T10:00:00Z,8.21,3.014774967815673
2024-07-16T10:15:00Z,8.157,2.8417315834950303
2024-07-16T10:30:00Z,8.104,2.67864864130792
2024-07-16T10:45:00Z,7.998,2.885917578164081
2024-07-16T11:00:00Z,7.998,2.907790738472215
2024-07-16T11:15:00Z,7.892,3.177048435381194
2024-07-16T11:30:00Z,7.892,3.0767118205138244
2024-07-16T11:45:00Z,7.785,3.075833484856591
2024-07-16T12:00:00Z,7.732,2.892836890347085
2024-07-16T12:15:00Z,7.626,2.621463776888027
2024-07-16T12:30:00Z,7.626,2.88802000649025
2024-07-16T12:45:00Z,7.626,2.9739828352539095
2024-07-16T13:00:00Z,7.573,2.686195547715804
2024-07-16T13:15:00Z,7.466,3.115976945823062
2024-07-16T13:30:00Z,7.52,2.6731520375974767
2024-07-16T13:45:00Z,7.52,2.807550358223739
2024-07-16T14:00:00Z,7.573,2.7330644790899017
2024-07-16T14:15:00Z,7.52,2.717438583416217
2024-07-16T14:30:00Z,7.626,2.6247793835393
2024-07-16T14:45:00Z,7.679,2.3350838106820366
2024-07-16T15:00:00Z,7.785,2.5734617077854733
2024-07-16T15:15:00Z,7.838,2.554380653111694
2024-07-16T15:30:00Z,7.945,2.6450639172958015
2024-07-16T15:45:00Z,8.051,2.665472893342884
2024-07-16T16:00:00Z,8.21,2.3167218363176505
2024-07-16T16:15:00Z,8.263,2.3278355020894033
2024-07-16T16:30:00Z,8.369,2.4376329608185747
2024-07-16T16:45:00Z,8.474,2.3992036370698475
2024-07-16T17:00:00Z,8.633,2.524829992089212
2024-07-16T17:15:00Z,8.792,2.4182687370145626
2024-07-16T17:30:00Z,8.95,2.4374611157463586
2024-07-16T17:45:00Z,9.108,2.461750994280642
2024-07-16T18:00:00Z,9.266,2.1378027748168487
2024-07-16T18:15:00Z,9.371,2.5082816130752743
2024-07-16T18:30:00Z,9.582,2.320068874057659
2024-07-16T18:45:00Z,9.739,2.2631644397576323
2024-07-16T19:00:00Z,9.949,2.1820909047178465
2024-07-16T19:15:00Z,10.107,1.9836886134383616
2024-07-16T19:30:00Z,10.316,2.182069480625028
2024-07-16T19:45:00Z,10.525,2.320926626700148
2024-07-16T20:00:00Z,10.682,1.9833658941885857
2024-07-16T20:15:00Z,10.891,2.07446112680429
2024-07-16T20:30:00Z,11.1,2.183226118124938
2024-07-16T20:45:00Z,11.256,1.9981846480467913
2024-07-16T21:00:00Z,11.256,2.3348738779949705
2024-07-16T21:15:00Z,11.256,2.346053966097931
